list-card-addr,list-card-price,json_data,list-card-details,list-card-label 2,list-card-variable-text,list-card-link href 2,list-card-link src,json_data,list-card-extra-info,list-card-details 2,list-card-details 3,list-card-label 3,list-card-statusText,j
"182A Eckford St #3, Brooklyn, NY 11222","$2,200/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/182A-Eckford-St-3-Brooklyn-NY-11222/2097636347_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""182a Eckford St #3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""182A Eckford St #3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725697,""longitude"":-73.949564},""url"":""https://www.zillow.com/homedetails/182A-Eckford-St-3-Brooklyn-NY-11222/2097636347_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (570-350-5670),1,--,sqft,#NAME?,Save this home
"928 Manhattan Ave FLOOR 3, Brooklyn, NY 11222","$3,500/mo",bds,3,ba,7 days ago,https://www.zillow.com/homedetails/928-Manhattan-Ave-FLOOR-3-Brooklyn-NY-11222/2073032512_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""928 Manhattan Ave Floor 3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""928 Manhattan Ave FLOOR 3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.731114,""longitude"":-73.954141},""url"":""https://www.zillow.com/homedetails/928-Manhattan-Ave-FLOOR-3-Brooklyn-NY-11222/2073032512_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (917-301-3528),1.5,"1,100",sqft,#NAME?,Save this home
"1 Blue Slip, Brooklyn, NY","$2,890+",Studio,"$3,445+",1 bd,7 days ago,https://www.zillow.com/b/1-blue-slip-brooklyn-ny-BLxDrJ/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"168 Driggs Ave #3L, Brooklyn, NY 11222","$2,200/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/168-Driggs-Ave-3L-Brooklyn-NY-11222/2073038644_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""168 Driggs Ave #3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""168 Driggs Ave #3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723185,""longitude"":-73.945309},""url"":""https://www.zillow.com/homedetails/168-Driggs-Ave-3L-Brooklyn-NY-11222/2073038644_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (347-348-6137),1,--,sqft,#NAME?,Save this home
"188 Nassau Ave APT 3L, Brooklyn, NY 11222","$2,400/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/188-Nassau-Ave-APT-3L-Brooklyn-NY-11222/2101255735_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""188 Nassau Ave Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""850""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""188 Nassau Ave APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725239,""longitude"":-73.945602},""url"":""https://www.zillow.com/homedetails/188-Nassau-Ave-APT-3L-Brooklyn-NY-11222/2101255735_zpid/""}",LISTING BY: GRAND TOWN LISTINGS,1,850,sqft,#NAME?,Save this home
"188 Engert Ave APT 3R, Brooklyn, NY 11222","$2,200/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/188-Engert-Ave-APT-3R-Brooklyn-NY-11222/2073055398_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""188 Engert Ave Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""188 Engert Ave APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721572,""longitude"":-73.943314},""url"":""https://www.zillow.com/homedetails/188-Engert-Ave-APT-3R-Brooklyn-NY-11222/2073055398_zpid/""}",LISTING BY: CORCORAN,1,--,sqft,#NAME?,Save this home
"604 Manhattan Ave APT 1R, Brooklyn, NY 11222","$1,950/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/604-Manhattan-Ave-APT-1R-Brooklyn-NY-11222/2083130545_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""604 Manhattan Ave Apt 1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""600""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""604 Manhattan Ave APT 1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723307,""longitude"":-73.950209},""url"":""https://www.zillow.com/homedetails/604-Manhattan-Ave-APT-1R-Brooklyn-NY-11222/2083130545_zpid/""}",LISTING BY: REALTY COLLECTIVE (718-834-1440),1,600,sqft,#NAME?,Save this home
"1133 Manhattan Ave, Brooklyn, NY","$3,200+",1 bd,,,7 days ago,https://www.zillow.com/b/eleven33-brooklyn-ny-5tz59z/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"166 Monitor St APT 3, Brooklyn, NY 11222","$3,200/mo",bds,3,ba,7 days ago,https://www.zillow.com/homedetails/166-Monitor-St-APT-3-Brooklyn-NY-11222/2073058279_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""166 Monitor St Apt 3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""166 Monitor St APT 3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72497,""longitude"":-73.942215},""url"":""https://www.zillow.com/homedetails/166-Monitor-St-APT-3-Brooklyn-NY-11222/2073058279_zpid/""}",LISTING BY: SALLY RAIA LLC (347-423-5938),1,--,sqft,#NAME?,Save this home
"221 Calyer St APT 3L, Brooklyn, NY 11222","$2,150/mo",bds,2,ba,7 days ago,https://www.zillow.com/homedetails/221-Calyer-St-APT-3L-Brooklyn-NY-11222/2095421022_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""221 Calyer St Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""221 Calyer St APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728929,""longitude"":-73.95146},""url"":""https://www.zillow.com/homedetails/221-Calyer-St-APT-3L-Brooklyn-NY-11222/2095421022_zpid/""}",LISTING BY: ALPINE REALTY (917-714-8925),1,--,sqft,#NAME?,Save this home
"76 N Henry St APT 2R, Brooklyn, NY 11222","$2,000/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/76-N-Henry-St-APT-2R-Brooklyn-NY-11222/2073060814_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""76 N Henry St Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""76 N Henry St APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721692,""longitude"":-73.942696},""url"":""https://www.zillow.com/homedetails/76-N-Henry-St-APT-2R-Brooklyn-NY-11222/2073060814_zpid/""}",LISTING BY: THE IN HOUSE GROUP (917-239-4425),1,--,sqft,#NAME?,Save this home
"58 Hausman St FLOOR 1, Brooklyn, NY 11222","$3,199/mo",bds,2,ba,7 days ago,https://www.zillow.com/homedetails/58-Hausman-St-FLOOR-1-Brooklyn-NY-11222/2073060852_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""58 Hausman St Floor 1, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""58 Hausman St FLOOR 1"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725417,""longitude"":-73.93862},""url"":""https://www.zillow.com/homedetails/58-Hausman-St-FLOOR-1-Brooklyn-NY-11222/2073060852_zpid/""}",,1,"1,000",sqft,#NAME?,Save this home
"76 Franklin St APT 2R, Brooklyn, NY 11222","$3,450/mo",bds,2,ba,7 days ago,https://www.zillow.com/homedetails/76-Franklin-St-APT-2R-Brooklyn-NY-11222/2081004129_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""76 Franklin St Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""775""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""76 Franklin St APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72723,""longitude"":-73.956859},""url"":""https://www.zillow.com/homedetails/76-Franklin-St-APT-2R-Brooklyn-NY-11222/2081004129_zpid/""}",,1,775,sqft,#NAME?,Save this home
"946 Manhattan Ave APT 3F, Brooklyn, NY 11222","$2,500/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/946-Manhattan-Ave-APT-3F-Brooklyn-NY-11222/2097117936_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""946 Manhattan Ave Apt 3f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""570""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""946 Manhattan Ave APT 3F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.731532,""longitude"":-73.954164},""url"":""https://www.zillow.com/homedetails/946-Manhattan-Ave-APT-3F-Brooklyn-NY-11222/2097117936_zpid/""}",,1,570,sqft,#NAME?,Save this home
"106 Greenpoint Ave APT 4L, Brooklyn, NY 11222","$2,100/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/106-Greenpoint-Ave-APT-4L-Brooklyn-NY-11222/2100203458_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""106 Greenpoint Ave Apt 4l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""650""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""106 Greenpoint Ave APT 4L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729734,""longitude"":-73.956597},""url"":""https://www.zillow.com/homedetails/106-Greenpoint-Ave-APT-4L-Brooklyn-NY-11222/2100203458_zpid/""}","LISTING BY: MICHAL KURAS, LREB (646-284-2026)",1,650,sqft,#NAME?,Save this home
"36 Driggs Ave APT 3R, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,Open: Thu. 8am-8pm,https://www.zillow.com/homedetails/36-Driggs-Ave-APT-3R-Brooklyn-NY-11222/2106107866_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""36 Driggs Ave Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""36 Driggs Ave APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723654,""longitude"":-73.940206},""url"":""https://www.zillow.com/homedetails/36-Driggs-Ave-APT-3R-Brooklyn-NY-11222/2106107866_zpid/""}",LISTING BY: HIGHLINE RESIDENTIAL,1,--,sqft,#NAME?,Save this home
"198 Calyer St #3F, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,7 days ago,https://www.zillow.com/homedetails/198-Calyer-St-3F-Brooklyn-NY-11222/2073067593_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""198 Calyer St #3f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""198 Calyer St #3F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728453,""longitude"":-73.951986},""url"":""https://www.zillow.com/homedetails/198-Calyer-St-3F-Brooklyn-NY-11222/2073067593_zpid/""}",LISTING BY: NOOKLYN.COM LLC (914-489-8885),1,--,sqft,#NAME?,Save this home
"756 Leonard St APT 3R, Brooklyn, NY 11222","$1,890/mo",bd,1,ba,7 days ago,https://www.zillow.com/homedetails/756-Leonard-St-APT-3R-Brooklyn-NY-11222/2088806228_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""756 Leonard St Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""756 Leonard St APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730125,""longitude"":-73.953256},""url"":""https://www.zillow.com/homedetails/756-Leonard-St-APT-3R-Brooklyn-NY-11222/2088806228_zpid/""}",LISTING BY: CORCORAN,1,--,sqft,#NAME?,Save this home
"145 Noble St, Brooklyn, NY","$2,895 ",2 bds,"$3,695 ",3 bds,8 days ago,https://www.zillow.com/b/145-noble-st-brooklyn-ny-3msv/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"818 Manhattan Ave #4E, Brooklyn, NY 11222","$2,399/mo",bds,2,ba,8 days ago,https://www.zillow.com/homedetails/818-Manhattan-Ave-4E-Brooklyn-NY-11222/2073075530_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""818 Manhattan Ave #4e, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""818 Manhattan Ave #4E"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728371,""longitude"":-73.953154},""url"":""https://www.zillow.com/homedetails/818-Manhattan-Ave-4E-Brooklyn-NY-11222/2073075530_zpid/""}",LISTING BY: TRIPLEMINT,1,--,sqft,#NAME?,Save this home
"218 Calyer St APT 2L, Brooklyn, NY 11222","$2,000/mo",bd,1,ba,8 days ago,https://www.zillow.com/homedetails/218-Calyer-St-APT-2L-Brooklyn-NY-11222/2090237794_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""218 Calyer St Apt 2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""218 Calyer St APT 2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728676,""longitude"":-73.950913},""url"":""https://www.zillow.com/homedetails/218-Calyer-St-APT-2L-Brooklyn-NY-11222/2090237794_zpid/""}",LISTING BY: TERRA MAGIA INC,1,--,sqft,#NAME?,Save this home
"159 Newel St #1R, Brooklyn, NY 11222","$2,950/mo",bds,3,ba,8 days ago,https://www.zillow.com/homedetails/159-Newel-St-1R-Brooklyn-NY-11222/2073081055_zpid/,https://photos.zillowstatic.com/fp/f89d3f19aed77247a1aece8dfda999bd-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""159 Newel St #1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""159 Newel St #1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727645,""longitude"":-73.949291},""url"":""https://www.zillow.com/homedetails/159-Newel-St-1R-Brooklyn-NY-11222/2073081055_zpid/""}",LISTING BY: TERRA MAGIA INC,1,--,sqft,#NAME?,Save this home
"220 Calyer St, Brooklyn, NY","$1,900+",1 bd,"$3,100 ",3 bds,8 days ago,https://www.zillow.com/b/220-calyer-st-brooklyn-ny-3n6X/,https://photos.zillowstatic.com/fp/7462078a3453aee0bf65dfd349047f0a-p_e.jpg,,,,,,,
"215 Kingsland Ave #9R, Brooklyn, NY 11222","$1,825/mo",bd,1,ba,8 days ago,https://www.zillow.com/homedetails/215-Kingsland-Ave-9R-Brooklyn-NY-11222/2073093444_zpid/,https://photos.zillowstatic.com/fp/068be455c7c7cd902e85fe24614da407-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""215 Kingsland Ave #9r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""215 Kingsland Ave #9R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723911,""longitude"":-73.941666},""url"":""https://www.zillow.com/homedetails/215-Kingsland-Ave-9R-Brooklyn-NY-11222/2073093444_zpid/""}",LISTING BY: SIDEWALK REALTY LLC,1,--,sqft,#NAME?,Save this home
"975 Manhattan Ave #8A, Brooklyn, NY 11222","$2,550/mo",bd,1,ba,8 days ago,https://www.zillow.com/homedetails/975-Manhattan-Ave-8A-Brooklyn-NY-11222/2073093442_zpid/,https://photos.zillowstatic.com/fp/97068d4fa1b8f471b99743a09eb28d6d-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""975 Manhattan Ave #8a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""975 Manhattan Ave #8A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732482,""longitude"":-73.954955},""url"":""https://www.zillow.com/homedetails/975-Manhattan-Ave-8A-Brooklyn-NY-11222/2073093442_zpid/""}",LISTING BY: RENTAL SOLUTIONS INC (516-860-9734),1,--,sqft,#NAME?,Save this home
"125 Greenpoint Ave #12, Brooklyn, NY 11222","$1,999/mo",bds,2,ba,8 days ago,https://www.zillow.com/homedetails/125-Greenpoint-Ave-12-Brooklyn-NY-11222/2073096033_zpid/,https://photos.zillowstatic.com/fp/0f77c444d3af26b89379244c49c2a46c-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""125 Greenpoint Ave #12, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""125 Greenpoint Ave #12"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730365,""longitude"":-73.955026},""url"":""https://www.zillow.com/homedetails/125-Greenpoint-Ave-12-Brooklyn-NY-11222/2073096033_zpid/""}",LISTING BY: REAL STREET INC (347-243-8776),1,--,sqft,#NAME?,Save this home
"159 Greenpoint Ave APT 1R, Brooklyn, NY 11222","$2,250/mo",bd,1,ba,8 days ago,https://www.zillow.com/homedetails/159-Greenpoint-Ave-APT-1R-Brooklyn-NY-11222/2073099378_zpid/,https://photos.zillowstatic.com/fp/139b4af3bdac7dffa12769d38b610ba2-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""159 Greenpoint Ave Apt 1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""159 Greenpoint Ave APT 1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730497,""longitude"":-73.953391},""url"":""https://www.zillow.com/homedetails/159-Greenpoint-Ave-APT-1R-Brooklyn-NY-11222/2073099378_zpid/""}",LISTING BY: CORCORAN (646-236-8244),1,--,sqft,#NAME?,Save this home
"578 Morgan Ave APT 1, Brooklyn, NY 11222","$2,300/mo",bd,1,ba,8 days ago,https://www.zillow.com/homedetails/578-Morgan-Ave-APT-1-Brooklyn-NY-11222/2086882491_zpid/,https://photos.zillowstatic.com/fp/b64cbb904b8b0c29e63f85822692bf5a-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""578 Morgan Ave Apt 1, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""578 Morgan Ave APT 1"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724373,""longitude"":-73.939317},""url"":""https://www.zillow.com/homedetails/578-Morgan-Ave-APT-1-Brooklyn-NY-11222/2086882491_zpid/""}",LISTING BY: CORCORAN (646-236-8244),1,--,sqft,#NAME?,Save this home
"45 Newell St #1F, Brooklyn, NY 11222","$2,300/mo",bds,--,ba,8 days ago,https://www.zillow.com/homedetails/45-Newell-St-1F-Brooklyn-NY-11222/2073105982_zpid/,https://photos.zillowstatic.com/fp/1ba612e2768471d9437de9552cb31345-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""45 Newell St #1f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""45 Newell St #1F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724079,""longitude"":-73.947255},""url"":""https://www.zillow.com/homedetails/45-Newell-St-1F-Brooklyn-NY-11222/2073105982_zpid/""}",LISTING BY: NOOKLYN.COM LLC (702-358-8211),1,--,sqft,#NAME?,Save this home
